gene,halflife_rep1,halflife_rep2,halflife_rep3,avg_halflife,n_valid_reps
YIR014W,,,17.960210621605196,17.960210621605196,1
YHL031C,16.749432285283994,15.431384034430785,21.727786940257865,17.969534419990882,3
YNR036C,19.355493722174746,12.881006365757633,21.672683868039503,17.96972798532396,3
YJL054W,27.403762395888865,15.281660537227014,11.230958647649498,17.97212719358846,3
YNR052C,20.421433711376906,18.4065559082934,15.107617362595482,17.978535660755263,3
YGL033W,,26.80651648192306,9.157612101982794,17.982064291952927,2
YOR262W,,19.918393301845406,16.049954200817705,17.984173751331554,2
YGR038W,28.56502990310721,12.440858284163246,12.952051719739774,17.98597996900341,3
YOR289W,,,17.987954651249062,17.987954651249062,1
YKL126W,20.467998754568768,16.663900774745287,16.83396912730145,17.9886228855385,3
YPR051W,,18.236702580427195,17.760830309318685,17.998766444872942,2
YDL054C,20.245399957597556,17.74695424916876,16.01102765951324,18.00112728875985,3
YDL120W,19.08009588107498,21.67608214758985,13.249560907624875,18.001912978763233,3
YNL307C,15.208735030659899,22.57714926490481,16.22572307662475,18.003869124063154,3
YJR083C,30.663907076114523,6.1024972922948155,17.252207976047927,18.006204114819088,3
YBR267W,19.550368376527125,17.34197829841838,17.133620517672433,18.008655730872643,3
YJL173C,18.751638093413096,15.929026142158433,19.35522594819327,18.011963394588264,3
YER035W,21.68975887654644,,14.355608699462222,18.02268378800433,2
YBR095C,20.108125883964526,,15.947051814723952,18.02758884934424,2
YBR004C,,19.705820338503074,16.35295428037422,18.029387309438647,2
YKL190W,,22.33353592313785,13.738111263869088,18.03582359350347,2
YJR110W,21.64214731609889,11.959798960772247,20.540639170349955,18.047528482407028,3
YKR043C,23.416036390329154,16.667137478835503,14.093741759965864,18.05897187637684,3
YOR108W,18.097589450908103,21.236702288820553,14.851710394484128,18.062000711404263,3
YDR071C,18.95212310877339,15.351189139043148,19.887156084184607,18.063489444000382,3
YDR353W,20.960407887504324,17.89885157779429,15.331690174102695,18.063649879800437,3
YDL121C,,15.486297503550958,20.654789691438957,18.070543597494957,2
YML091C,,,18.072363530037457,18.072363530037457,1
YPL082C,,20.006990868681946,16.13879873236145,18.0728948005217,2
YPL259C,16.518931440770615,22.3421838941827,15.367617588076534,18.076244307676614,3
YMR257C,12.78396857044577,6.097507422581419,35.382073762138326,18.087849918388503,3
YDL187C,,,18.08812676142085,18.08812676142085,1
YDR452W,16.558583624813565,20.224443257082644,17.486817766227567,18.089948216041257,3
YER088C,21.000950759359654,24.317934955103684,8.960064972973171,18.092983562478835,3
YGL025C,20.785475060021636,17.423320331102296,16.093268468306206,18.100687953143378,3
YPR148C,16.966914947138527,21.45931763725161,15.875842037825436,18.100691540738524,3
YIL133C,19.090343538014018,18.772818139915795,16.443637881119432,18.10226651968308,3
YGR141W,22.948795479098692,18.308027864651518,13.056756929055886,18.104526757602034,3
YMR235C,15.628377598664784,21.027140233439752,17.659856974245052,18.10512493544986,3
YOR066W,18.867598440483672,24.660791033510908,10.797731451480123,18.108706975158235,3
YMR203W,15.676357913827127,21.253666311104727,17.421713684066923,18.11724596966626,3
YER019C-A,,15.348580420069865,20.8952109354588,18.121895677764332,2
YOR316C,18.449934053509196,18.331927271819104,17.620623726446592,18.13416168392496,3
YPL193W,17.032442909687948,21.386000938477995,15.989742573003188,18.13606214038971,3
YPL089C,,,18.14391233406418,18.14391233406418,1
YBR237W,19.726470534815377,,16.5622262120082,18.144348373411788,2
YOR131C,,,18.154575571996727,18.154575571996727,1
YOR275C,18.96309447446511,18.326403951101085,17.216574084746473,18.16869083677089,3
YFR025C,23.804432622514277,19.85090887920662,10.889578796050357,18.181640099257084,3
YBL046W,16.728182200515164,31.113159700506976,6.706797520647234,18.18271314055646,3
YOL097C,18.998977457270534,18.302292995365924,17.255679133663868,18.18564986210011,3
YHL033C,14.85764144045214,19.733697637543624,19.97068875377859,18.18734261059145,3
YLR335W,15.326313143795437,19.389124975759493,19.85067313837372,18.188703752642883,3
YGL032C,15.716524970249889,,20.66265173535194,18.189588352800914,2
YBL049W,,,18.202571206318044,18.202571206318044,1
YIR043C,10.573392801973986,21.085700921034228,22.968900560553926,18.209331427854046,3
YER171W,,25.736141489509354,10.708594651113325,18.22236807031134,2
YOL060C,23.149574835830038,21.163167486236325,10.35715609411185,18.223299472059406,3
YNL067W,16.022573870593,21.945191572336423,16.727493557187074,18.231753000038832,3
YPL179W,16.19807402256473,20.378513202067037,18.1233634889844,18.23331690453872,3
YKR022C,31.501740165619008,5.201549070605323,18.01832470602974,18.240537980751355,3
YLR145W,21.890181038202073,9.109091486283964,23.743933554291196,18.24773535959241,3
YCR042C,,,18.24861493196137,18.24861493196137,1
YJL104W,24.577350469116357,17.95390561400517,12.215934228744336,18.249063437288623,3
YDL192W,16.016686790614898,20.622528181848274,18.111242193016945,18.250152388493373,3
YBR055C,,18.98097422181215,17.530347842291444,18.255661032051798,2
YBR189W,16.572179151123727,20.965317631265048,17.253401926539635,18.263632902976138,3
YMR135W-A,,,18.272014284620894,18.272014284620894,1
YOR123C,23.800429532203697,16.566014376444663,14.452456091186644,18.27296666661167,3
YML061C,9.013490887213779,28.987351620235625,16.81917658854223,18.27333969866388,3
YGL039W,,,18.27546861452647,18.27546861452647,1
YDR478W,17.15249894715549,20.328601818001253,17.364321484310633,18.281807416489126,3
YDR460W,20.93402061592319,12.397520846705417,21.514261156107167,18.281934206245257,3
YEL053C,36.443070295643565,11.462741458349027,6.944899209259842,18.283570321084145,3
YML097C,23.697081104939873,8.042628413726694,23.11481570722246,18.284841741963007,3
YER127W,25.672234757433664,15.335792150412777,13.868377188866477,18.292134698904306,3
YDR098C,16.81025181263168,20.802643742361607,17.265114619977602,18.29267005832363,3
YLR106C,,,18.297786156508895,18.297786156508895,1
YMR158W,30.670522784295894,9.427059178832598,14.801283018025552,18.29962166038468,3
YER027C,21.106739908231305,,15.495471973070273,18.30110594065079,2
YBL038W,14.030660718141295,22.315820798778613,18.57954992321762,18.30867714671251,3
YER128W,,,18.312242972633875,18.312242972633875,1
YJR047C,14.802050873792457,18.029471759401083,22.109895911513725,18.31380618156909,3
YLR096W,24.112438062239065,8.564696706913926,22.27564635099253,18.317593706715176,3
YBL103C,19.50858821476489,29.041975481653022,6.408340428038374,18.319634708152094,3
YGR064W,,21.638913100687112,15.002855855981798,18.320884478334456,2
YOR306C,14.032854799383506,23.330518550312355,17.61084450455134,18.324739284749068,3
YLR210W,25.969351494444368,,10.683714344168871,18.32653291930662,2
YER024W,24.588844410245546,22.329093695849068,8.061696641801284,18.326544915965297,3
YGL029W,27.45606997970815,13.89466162670608,13.660817756769982,18.337183121061404,3
YPR112C,27.12433740904366,14.428478468162147,13.473547004614465,18.34212096060676,3
YGL210W,27.492478013881104,13.295603178716092,14.25606253964659,18.34804791074793,3
YMR004W,17.69882935656274,20.302609526463325,17.10133643980441,18.36759177427683,3
YPL216W,,,18.370810025704774,18.370810025704774,1
YCL017C,23.671937317575775,17.12192302998618,14.330376154843144,18.3747455008017,3
YMR296C,29.267576141573123,15.33914531664751,10.52824107791399,18.37832084537821,3
YER063W,12.781963859003762,24.486198591204186,17.87661572949375,18.38159272656723,3
YBR141C,,,18.38174710415413,18.38174710415413,1
YNL163C,19.897453113466376,18.31494480791213,16.938746541834966,18.38371482107116,3
YPL173W,24.097901521329536,19.83737231410303,11.246502048662833,18.393925294698466,3
YLR441C,,21.498915701281085,15.297412233036352,18.39816396715872,2
YLR129W,28.142146977247894,13.95572412911327,13.104476276519543,18.400782460960233,3
YOR355W,25.949182224302803,15.743964445263048,13.516242816118774,18.403129828561543,3
YOR224C,26.029674519871392,13.424339233381085,15.761726564313596,18.405246772522023,3
YGL187C,,17.132104051987238,19.682367388712972,18.407235720350105,2
YHR152W,15.313598809775621,27.943845941582833,11.965001612007796,18.407482121122083,3
YDR231C,17.695444562873096,20.037967597059016,17.54422010849155,18.42587742280789,3
YBL028C,23.645978710235294,,13.206429686455788,18.42620419834554,2
YLR293C,,,18.426336641572533,18.426336641572533,1
YOL076W,20.452380969318636,18.056946949884917,16.771981528838825,18.42710314934746,3
YIL063C,17.1648362411823,21.30314380421384,16.827352842714866,18.431777629370334,3
YBL009W,21.929983440958647,22.282485723507758,11.085783166962218,18.432750777142875,3
YKR093W,18.88140871341209,19.84932916483703,16.588215071162065,18.43965098313706,3
YGR054W,19.913958779400385,17.696389921832008,17.75381859785287,18.454722433028422,3
YDL104C,,,18.45814237127222,18.45814237127222,1
YGR017W,20.08359163159701,19.6003802353685,15.700083451838,18.461351772934503,3
YER007C-A,19.78982029277959,21.120959358630213,14.47566530818449,18.462148319864763,3
YGL077C,18.677844677678987,19.15119222397214,17.57072560829258,18.466587503314567,3
YPL146C,,18.671536768621618,18.263155477592964,18.46734612310729,2
YMR318C,22.497406363062197,18.07645713999561,14.832951133303554,18.468938212120452,3
YMR289W,,20.725145760177128,16.214697510539985,18.469921635358556,2
YDR423C,11.862832097059599,33.1637755445851,10.390527108869003,18.472378250171236,3
YNL174W,26.283454191884047,,10.664875737813382,18.474164964848715,2
YOR117W,22.11337734926539,19.15559053782676,14.199228362724302,18.489398749938818,3
YBR252W,32.36305530826809,8.000908750523378,15.108205131621848,18.490723063471105,3
YMR037C,19.390792876458335,24.45882664660062,11.639900545232635,18.49650668943053,3
